OffspringID	loc	Sample_number	Year_collect	Length	Weight	samp	clust
PM_OCQ_001	OCQ	1	2018	99	1.145	OCQ_2018	clust1
PM_OCQ_002	OCQ	2	2018	108	1.284	OCQ_2018	clust1
PM_OCQ_003	OCQ	3	2018	108	1.624	OCQ_2018	clust1
PM_OCQ_004	OCQ	4	2018	115	1.964	OCQ_2018	clust1
PM_OCQ_005	OCQ	5	2018	105	1.527	OCQ_2018	clust1
PM_OCQ_006	OCQ	6	2018	113	1.951	OCQ_2018	clust1
PM_OCQ_007	OCQ	7	2018	99	1.264	OCQ_2018	clust1
PM_OCQ_008	OCQ	8	2018	100	1.18	OCQ_2018	clust1
PM_OCQ_009	OCQ	9	2018	105	1.324	OCQ_2018	clust1
PM_OCQ_010	OCQ	10	2018	106	1.408	OCQ_2018	clust1
PM_OCQ_011	OCQ	11	2018	113	1.871	OCQ_2018	clust1
PM_OCQ_012	OCQ	12	2018	102	1.119	OCQ_2018	clust1
PM_OCQ_013	OCQ	13	2018	120	1.752	OCQ_2018	clust1
PM_OCQ_014	OCQ	14	2018	113	1.38	OCQ_2018	clust1
PM_OCQ_015	OCQ	15	2018	95	0.957	OCQ_2018	clust1
PM_OCQ_016	OCQ	16	2018	102	1.221	OCQ_2018	clust1
PM_OCQ_017	OCQ	17	2018	97	1.246	OCQ_2018	clust1
PM_OCQ_018	OCQ	18	2018	90	0.732	OCQ_2018	clust1
PM_OCQ_019	OCQ	19	2018	83	0.557	OCQ_2018	clust1
PM_OCQ_020	OCQ	20	2018	110	1.242	OCQ_2018	clust1
PM_OCQ_021	OCQ	21	2018	114	1.704	OCQ_2018	clust1
PM_OCQ_022	OCQ	22	2018	94	1.001	OCQ_2018	clust1
PM_OCQ_023	OCQ	23	2018	80	0.545	OCQ_2018	clust1
PM_OCQ_024	OCQ	24	2018	87	0.818	OCQ_2018	clust1
PM_OCQ_025	OCQ	25	2018	85	0.547	OCQ_2018	clust1
PM_OCQ_026	OCQ	26	2018	89	0.928	OCQ_2018	clust1
PM_OCQ_027	OCQ	27	2018	88	0.893	OCQ_2018	clust1
PM_OCQ_028	OCQ	28	2018	93	0.928	OCQ_2018	clust1
PM_OCQ_029	OCQ	29	2018	84	0.706	OCQ_2018	clust1
PM_OCQ_030	OCQ	30	2018	85	0.826	OCQ_2018	clust1
PM_OCQ_031	OCQ	31	2018	119	1.838	OCQ_2018	clust1
PM_OCQ_032	OCQ	32	2018	88	0.823	OCQ_2018	clust1
PM_OCQ_033	OCQ	33	2018	95	1.008	OCQ_2018	clust1
PM_OCQ_034	OCQ	34	2018	103	1.317	OCQ_2018	clust1
PM_OCQ_035	OCQ	35	2018	99	1.048	OCQ_2018	clust1
PM_OCQ_036	OCQ	36	2018	115	1.777	OCQ_2018	clust1
PM_OCQ_037	OCQ	37	2018	87	0.787	OCQ_2018	clust1
PM_OCQ_038	OCQ	38	2018	76	0.318	OCQ_2018	clust1
PM_OCQ_039	OCQ	39	2018	100	1.116	OCQ_2018	clust1
PM_OCQ_040	OCQ	40	2018	98	0.988	OCQ_2018	clust1
PM_OCQ_041	OCQ	41	2018	113	1.719	OCQ_2018	clust1
PM_OCQ_042	OCQ	42	2018	96	0.829	OCQ_2018	clust1
PM_OCQ_043	OCQ	43	2018	103	1.269	OCQ_2018	clust1
PM_OCQ_044	OCQ	44	2018	93	0.905	OCQ_2018	clust1
PM_OCQ_045	OCQ	45	2018	104	1.595	OCQ_2018	clust1
PM_OCQ_046	OCQ	46	2018	108	1.249	OCQ_2018	clust1
PM_OCQ_047	OCQ	47	2018	91	0.804	OCQ_2018	clust1
PM_OCQ_048	OCQ	48	2018	97	1.144	OCQ_2018	clust1
PM_OCQ_049	OCQ	49	2018	100	1.117	OCQ_2018	clust1
PM_OCQ_050	OCQ	50	2018	84	0.637	OCQ_2018	clust1
PM_OCQ_051	OCQ	51	2018	97	0.897	OCQ_2018	clust1
PM_OCQ_052	OCQ	52	2018	98	0.965	OCQ_2018	clust1
PM_OCQ_053	OCQ	53	2018	85	0.597	OCQ_2018	clust1
PM_OCQ_054	OCQ	54	2018	106	1.484	OCQ_2018	clust1
PM_OCQ_055	OCQ	55	2018	75	0.456	OCQ_2018	clust1
PM_OCQ_056	OCQ	56	2018	98	0.992	OCQ_2018	clust1
PM_OCQ_057	OCQ	57	2018	87	0.739	OCQ_2018	clust1
PM_OCQ_058	OCQ	58	2018	94	0.944	OCQ_2018	clust1
PM_OCQ_059	OCQ	59	2018	89	0.715	OCQ_2018	clust1
PM_OCQ_060	OCQ	60	2018	95	0.8	OCQ_2018	clust1
PM_OCQ_061	OCQ	61	2018	104	1.315	OCQ_2018	clust1
PM_OCQ_062	OCQ	62	2018	117	1.951	OCQ_2018	clust1
PM_OCQ_063	OCQ	63	2018	118	1.997	OCQ_2018	clust1
PM_OCQ_064	OCQ	64	2018	110	1.266	OCQ_2018	clust1
PM_OCQ_065	OCQ	65	2018	110	1.486	OCQ_2018	clust1
PM_OCQ_066	OCQ	66	2018	111	1.469	OCQ_2018	clust1
PM_OCQ_067	OCQ	67	2018	88	0.738	OCQ_2018	clust1
PM_OCQ_068	OCQ	68	2018	96	1.035	OCQ_2018	clust1
PM_OCQ_069	OCQ	69	2018	114	1.504	OCQ_2018	clust1
PM_OCQ_070	OCQ	70	2018	95	1.018	OCQ_2018	clust1
PM_OCQ_071	OCQ	71	2018	90	0.704	OCQ_2018	clust1
PM_OCQ_072	OCQ	72	2018	91	0.681	OCQ_2018	clust1
PM_OCQ_073	OCQ	73	2018	76	0.489	OCQ_2018	clust1
PM_OCQ_074	OCQ	74	2018	94	0.665	OCQ_2018	clust1
PM_OCQ_075	OCQ	75	2018	94	0.741	OCQ_2018	clust1
PM_OCQ_076	OCQ	76	2018	76	0.496	OCQ_2018	clust1
PM_OCQ_077	OCQ	77	2018	81	0.475	OCQ_2018	clust1
PM_OCQ_078	OCQ	78	2018	93	0.849	OCQ_2018	clust1
PM_OCQ_079	OCQ	79	2018	85	0.67	OCQ_2018	clust1
PM_OCQ_080	OCQ	80	2018	102	1.234	OCQ_2018	clust1
PM_OCQ_081	OCQ	81	2018	108	1.609	OCQ_2018	clust1
PM_OCQ_082	OCQ	82	2018	106	1.306	OCQ_2018	clust1
PM_OCQ_083	OCQ	83	2018	95	0.735	OCQ_2018	clust1
PM_OCQ_084	OCQ	84	2018	87	0.436	OCQ_2018	clust1
PM_OCQ_085	OCQ	85	2018	116	1.946	OCQ_2018	clust1
PM_OCQ_086	OCQ	86	2018	88	0.724	OCQ_2018	clust1
PM_OCQ_087	OCQ	87	2018	104	1.448	OCQ_2018	clust1
PM_OCQ_088	OCQ	88	2018	105	1.227	OCQ_2018	clust1
PM_OCQ_089	OCQ	89	2018	90	0.688	OCQ_2018	clust1
PM_OCQ_090	OCQ	90	2018	113	1.859	OCQ_2018	clust1
PM_OCQ_091	OCQ	91	2018	101	1.141	OCQ_2018	clust1
PM_OCQ_092	OCQ	92	2018	110	1.469	OCQ_2018	clust1
PM_OCQ_093	OCQ	93	2018	108	1.382	OCQ_2018	clust1
PM_OCQ_094	OCQ	94	2018	101	0.945	OCQ_2018	clust1
PM_OCQ_095	OCQ	95	2018	95	1.025	OCQ_2018	clust1
PM_OCQ_096	OCQ	96	2018	85	0.749	OCQ_2018	clust1
PM_OCQ_097	OCQ	97	2018	76	0.394	OCQ_2018	clust1
PM_OCQ_098	OCQ	98	2018	90	0.661	OCQ_2018	clust1
PM_OCQ_099	OCQ	99	2018	101	1.218	OCQ_2018	clust1
PM_OCQ_100	OCQ	100	2018	105	1.382	OCQ_2018	clust1
PM_OCQ_101	OCQ	101	2018	105	1.246	OCQ_2018	clust1
PM_OCQ_102	OCQ	102	2018	90	0.784	OCQ_2018	clust1
PM_OCQ_103	OCQ	103	2018	94	0.889	OCQ_2018	clust1
PM_OCQ_104	OCQ	104	2018	92	0.73	OCQ_2018	clust1
PM_OCQ_105	OCQ	105	2018	97	1.203	OCQ_2018	clust1
PM_OCQ_106	OCQ	106	2018	76	0.406	OCQ_2018	clust1
PM_OCQ_107	OCQ	107	2018	94	0.743	OCQ_2018	clust1
PM_OCQ_108	OCQ	108	2018	100	0.933	OCQ_2018	clust1
PM_OCQ_109	OCQ	109	2018	81	0.777	OCQ_2018	clust1
PM_OCQ_110	OCQ	110	2018	101	1.24	OCQ_2018	clust1
PM_OCQ_111	OCQ	111	2018	81	0.551	OCQ_2018	clust1
PM_OCQ_112	OCQ	112	2018	86	0.65	OCQ_2018	clust1
PM_OCQ_113	OCQ	113	2018	85	0.744	OCQ_2018	clust1
PM_OCQ_114	OCQ	114	2018	85	0.727	OCQ_2018	clust1
PM_OCQ_115	OCQ	115	2018	95	1.011	OCQ_2018	clust1
PM_OCQ_116	OCQ	116	2018	86	0.562	OCQ_2018	clust1
PM_OCQ_117	OCQ	117	2018	110	1.592	OCQ_2018	clust1
PM_OCQ_118	OCQ	118	2018	100	0.982	OCQ_2018	clust1
PM_OCQ_119	OCQ	119	2018	82	0.704	OCQ_2018	clust1
PM_OCQ_120	OCQ	120	2018	120	2.029	OCQ_2018	clust1
PM_OCQ_121	OCQ	121	2018	106	1.179	OCQ_2018	clust1
PM_OCQ_122	OCQ	122	2018	130	2.522	OCQ_2018	clust1
PM_OCQ_123	OCQ	123	2018	100	1.013	OCQ_2018	clust1
PM_OCQ_124	OCQ	124	2018	108	1.384	OCQ_2018	clust1
PM_OCQ_125	OCQ	125	2018	96	1.101	OCQ_2018	clust1
PM_OCQ_126	OCQ	126	2018	116	1.886	OCQ_2018	clust1
PM_OCQ_127	OCQ	127	2018	93	1.116	OCQ_2018	clust1
PM_OCQ_128	OCQ	128	2018	100	1.205	OCQ_2018	clust1
PM_OCQ_129	OCQ	129	2018	99	1.143	OCQ_2018	clust1
PM_OCQ_130	OCQ	130	2018	86	0.699	OCQ_2018	clust1
PM_OCQ_131	OCQ	131	2018	100	1.098	OCQ_2018	clust1
PM_OCQ_132	OCQ	132	2018	108	1.566	OCQ_2018	clust1
PM_OCQ_133	OCQ	133	2018	90	0.775	OCQ_2018	clust1
PM_OCQ_134	OCQ	134	2018	90	0.871	OCQ_2018	clust1
PM_OCQ_135	OCQ	135	2018	96	1.11	OCQ_2018	clust1
PM_OCQ_136	OCQ	136	2018	102	1.424	OCQ_2018	clust1
PM_OCQ_137	OCQ	137	2018	89	0.853	OCQ_2018	clust1
PM_OCQ_138	OCQ	138	2018	96	0.971	OCQ_2018	clust1
PM_OCQ_139	OCQ	139	2018	104	1.318	OCQ_2018	clust1
PM_OCQ_140	OCQ	140	2018	86	0.841	OCQ_2018	clust1
PM_OCQ_141	OCQ	141	2018	107	1.462	OCQ_2018	clust1
PM_OCQ_142	OCQ	142	2018	108	1.67	OCQ_2018	clust1
PM_OCQ_143	OCQ	143	2018	103	1.19	OCQ_2018	clust1
PM_OCQ_144	OCQ	144	2018	112	1.976	OCQ_2018	clust1
PM_OCQ_145	OCQ	145	2018	81	0.481	OCQ_2018	clust1
PM_OCQ_146	OCQ	146	2018	89	0.816	OCQ_2018	clust1
PM_OCQ_147	OCQ	147	2018	103	1.282	OCQ_2018	clust1
PM_OCQ_148	OCQ	148	2018	95	1.147	OCQ_2018	clust1
PM_OCQ_149	OCQ	149	2018	85	0.529	OCQ_2018	clust1
PM_OCQ_150	OCQ	150	2018	130	2.849	OCQ_2018	clust1
PM_OCQ_151	OCQ	151	2018	115	1.754	OCQ_2018	clust1
PM_OCQ_152	OCQ	152	2018	101	0.978	OCQ_2018	clust1
PM_OCQ_153	OCQ	153	2018	74	0.455	OCQ_2018	clust1
PM_OCQ_154	OCQ	154	2018	107	1.422	OCQ_2018	clust1
PM_OCQ_155	OCQ	155	2018	105	1.306	OCQ_2018	clust1
PM_OCQ_156	OCQ	156	2018	116	2.111	OCQ_2018	clust1
PM_OCQ_157	OCQ	157	2018	95	1.096	OCQ_2018	clust1
PM_OCQ_158	OCQ	158	2018	113	1.999	OCQ_2018	clust1
PM_OCQ_159	OCQ	159	2018	93	0.631	OCQ_2018	clust1
PM_OCQ_160	OCQ	160	2018	96	1.125	OCQ_2018	clust1
PM_OCQ_161	OCQ	161	2018	95	1.091	OCQ_2018	clust1
PM_OCQ_162	OCQ	162	2018	90	0.824	OCQ_2018	clust1
PM_OCQ_163	OCQ	163	2018	99	1.034	OCQ_2018	clust1
PM_OCQ_164	OCQ	164	2018	88	0.778	OCQ_2018	clust1
PM_OCQ_165	OCQ	165	2018	119	2.008	OCQ_2018	clust1
PM_OCQ_166	OCQ	166	2018	95	1.187	OCQ_2018	clust1
PM_OCQ_167	OCQ	167	2018	109	1.218	OCQ_2018	clust1
PM_OCQ_168	OCQ	168	2018	93	0.982	OCQ_2018	clust1
PM_OCQ_169	OCQ	169	2018	90	0.928	OCQ_2018	clust1
PM_OCQ_170	OCQ	170	2018	103	1.029	OCQ_2018	clust1
PM_OCQ_171	OCQ	171	2018	114	1.906	OCQ_2018	clust1
PM_OCQ_172	OCQ	172	2018	101	1.028	OCQ_2018	clust1
PM_OCQ_173	OCQ	173	2018	103	1.337	OCQ_2018	clust1
PM_OCQ_174	OCQ	174	2018	112	1.47	OCQ_2018	clust1
PM_OCQ_175	OCQ	175	2018	93	0.824	OCQ_2018	clust1
PM_OCQ_176	OCQ	176	2018	91	0.79	OCQ_2018	clust1
PM_OCQ_177	OCQ	177	2018	78	0.561	OCQ_2018	clust1
PM_OCQ_178	OCQ	178	2018	89	0.721	OCQ_2018	clust1
PM_OCQ_179	OCQ	179	2018	83	0.584	OCQ_2018	clust1
PM_OCQ_180	OCQ	180	2018	101	1.121	OCQ_2018	clust1
PM_OCQ_181	OCQ	181	2018	90	0.555	OCQ_2018	clust1
PM_OCQ_182	OCQ	182	2018	88	0.659	OCQ_2018	clust1
PM_OCQ_183	OCQ	183	2018	112	1.954	OCQ_2018	clust1
PM_OCQ_184	OCQ	184	2018	87	0.719	OCQ_2018	clust1
PM_OCQ_185	OCQ	185	2018	99	0.917	OCQ_2018	clust1
PM_OCQ_186	OCQ	186	2018	96	0.981	OCQ_2018	clust1
PM_OCQ_187	OCQ	187	2018	110	1.674	OCQ_2018	clust1
PM_OCQ_188	OCQ	188	2018	104	1.408	OCQ_2018	clust1
PM_OCQ_189	OCQ	189	2018	84	0.619	OCQ_2018	clust1
PM_OCQ_190	OCQ	190	2018	88	0.793	OCQ_2018	clust1
PM_OCQ_191	OCQ	191	2018	99	0.919	OCQ_2018	clust1
PM_OCQ_192	OCQ	192	2018	109	1.325	OCQ_2018	clust1
PM_OCQ_193	OCQ	193	2018	115	1.946	OCQ_2018	clust1
PM_OCQ_194	OCQ	194	2018	101	1.228	OCQ_2018	clust1
PM_OCQ_195	OCQ	195	2018	95	1.002	OCQ_2018	clust1
PM_OCQ_196	OCQ	196	2018	93	0.835	OCQ_2018	clust1
PM_OCQ_197	OCQ	197	2018	128	2.775	OCQ_2018	clust1
PM_OCQ_198	OCQ	198	2018	113	2.09	OCQ_2018	clust1
PM_OCQ_199	OCQ	199	2018	123	2.348	OCQ_2018	clust1
PM_OCQ_200	OCQ	200	2018	95	1.275	OCQ_2018	clust1
PM_OCQ_201	OCQ	201	2018	122	2.392	OCQ_2018	clust1
PM_OCQ_202	OCQ	202	2018	108	1.644	OCQ_2018	clust1
PM_OCQ_203	OCQ	203	2018	108	1.775	OCQ_2018	clust1
PM_OCQ_204	OCQ	204	2018	116	1.769	OCQ_2018	clust1
PM_OCQ_205	OCQ	205	2018	115	2.335	OCQ_2018	clust1
PM_OCQ_206	OCQ	206	2018	102	1.537	OCQ_2018	clust1
PM_OCQ_207	OCQ	207	2018	135	3.466	OCQ_2018	clust1
PM_OCQ_208	OCQ	208	2018	129	3.17	OCQ_2018	clust1
PM_OCQ_209	OCQ	209	2018	102	1.614	OCQ_2018	clust1
PM_OCQ_210	OCQ	210	2018	108	2.008	OCQ_2018	clust1
PM_OCQ_211	OCQ	211	2018	94	1.241	OCQ_2018	clust1
PM_OCQ_212	OCQ	212	2018	96	1.289	OCQ_2018	clust1
PM_OCQ_213	OCQ	213	2018	92	1.108	OCQ_2018	clust1
PM_OCQ_214	OCQ	214	2018	92	1.177	OCQ_2018	clust1
