ID	loc	Sample_number	Year_collect	Length	Weight	samp	clust
PM_BMR_614	BMR	1188	2018	95	1.156	BMR_2018	clust1
PM_BMR_688	BMR	1262	2018	103	1.363	BMR_2018	clust1
PM_BMR_634	BMR	1208	2018	82	0.728	BMR_2018	clust1
PM_BMR_487	BMR	1061	2018	91	0.915	BMR_2018	clust1
PM_BMR_534	BMR	1108	2018	93	0.846	BMR_2018	clust1
PM_BMR_894	BMR	1468	2018	71	0.439	BMR_2018	clust1
PM_BMR_672	BMR	1246	2018	81	0.622	BMR_2018	clust1
PM_BMR_972	BMR	1546	2018	95	1.05	BMR_2018	clust1
PM_BMR_721	BMR	1295	2018	112	1.809	BMR_2018	clust1
PM_BMR_803	BMR	1377	2018	73	0.536	BMR_2018	clust1
PM_BMR_739	BMR	1313	2018	106	1.452	BMR_2018	clust1
PM_BMR_645	BMR	1219	2018	100	1.25	BMR_2018	clust1
PM_BMR_535	BMR	1109	2018	98	1.107	BMR_2018	clust1
PM_BMR_828	BMR	1402	2018	95	1.136	BMR_2018	clust1
PM_BMR_571	BMR	1145	2018	86	0.792	BMR_2018	clust1
PM_BMR_625	BMR	1199	2018	89	0.936	BMR_2018	clust1
PM_BMR_861	BMR	1435	2018	77	0.527	BMR_2018	clust1
PM_BMR_791	BMR	1365	2018	111	1.738	BMR_2018	clust1
PM_BMR_631	BMR	1205	2018	90	0.94	BMR_2018	clust1
PM_BMR_908	BMR	1482	2018	75	0.601	BMR_2018	clust1
PM_BMR_679	BMR	1253	2018	83	0.728	BMR_2018	clust1
PM_BMR_883	BMR	1457	2018	75	0.521	BMR_2018	clust1
PM_BMR_1011	BMR	1585	2018	99	1.326	BMR_2018	clust1
PM_BMR_633	BMR	1207	2018	73	0.689	BMR_2018	clust1
PM_BMR_994	BMR	1568	2018	90	1.007	BMR_2018	clust1
PM_BMR_703	BMR	1277	2018	111	1.562	BMR_2018	clust1
PM_BMR_950	BMR	1524	2018	92	1.008	BMR_2018	clust1
PM_BMR_868	BMR	1442	2018	74	0.608	BMR_2018	clust1
PM_BMR_510	BMR	1084	2018	83	0.823	BMR_2018	clust1
PM_BMR_961	BMR	1535	2018	99	1.234	BMR_2018	clust1
PM_BMR_716	BMR	1290	2018	130	2.841	BMR_2018	clust1
PM_BMR_453	BMR	1027	2018	89	1.046	BMR_2018	clust1
PM_BMR_879	BMR	1453	2018	70	0.349	BMR_2018	clust1
PM_BMR_418	BMR	992	2018	94	1.099	BMR_2018	clust1
PM_BMR_626	BMR	1200	2018	91	1.001	BMR_2018	clust1
PM_BMR_575	BMR	1149	2018	90	0.849	BMR_2018	clust1
PM_BMR_708	BMR	1282	2018	110	1.584	BMR_2018	clust1
PM_BMR_830	BMR	1404	2018	81	0.653	BMR_2018	clust1
PM_BMR_781	BMR	1355	2018	98	1.12	BMR_2018	clust1
PM_BMR_796	BMR	1370	2018	103	1.363	BMR_2018	clust1
PM_BMR_488	BMR	1062	2018	89	0.822	BMR_2018	clust1
PM_BMR_616	BMR	1190	2018	98	1.165	BMR_2018	clust1
PM_BMR_420	BMR	994	2018	99	1.23	BMR_2018	clust1
PM_BMR_969	BMR	1543	2018	89	0.936	BMR_2018	clust1
PM_BMR_685	BMR	1259	2018	90	0.908	BMR_2018	clust1
PM_BMR_892	BMR	1466	2018	75	0.605	BMR_2018	clust1
PM_BMR_444	BMR	1018	2018	81	0.751	BMR_2018	clust1
PM_BMR_855	BMR	1429	2018	73	0.465	BMR_2018	clust1
PM_BMR_816	BMR	1390	2018	70	0.425	BMR_2018	clust1
PM_BMR_738	BMR	1312	2018	105	1.488	BMR_2018	clust1
PM_BMR_458	BMR	1032	2018	81	0.684	BMR_2018	clust1
PM_BMR_845	BMR	1419	2018	81	0.617	BMR_2018	clust1
PM_BMR_898	BMR	1472	2018	80	0.657	BMR_2018	clust1
PM_BMR_590	BMR	1164	2018	98	1.381	BMR_2018	clust1
PM_BMR_481	BMR	1055	2018	84	0.761	BMR_2018	clust1
PM_BMR_569	BMR	1143	2018	84	0.81	BMR_2018	clust1
PM_BMR_806	BMR	1380	2018	79	0.585	BMR_2018	clust1
PM_BMR_594	BMR	1168	2018	82	1.497	BMR_2018	clust1
PM_BMR_603	BMR	1177	2018	82	0.626	BMR_2018	clust1
PM_BMR_793	BMR	1367	2018	107	1.645	BMR_2018	clust1
PM_BMR_981	BMR	1555	2018	90	0.956	BMR_2018	clust1
PM_BMR_1020	BMR	1594	2018	95	1.22	BMR_2018	clust1
PM_BMR_656	BMR	1230	2018	81	0.796	BMR_2018	clust1
PM_BMR_412	BMR	986	2018	78	0.706	BMR_2018	clust1
PM_BMR_797	BMR	1371	2018	88	1.101	BMR_2018	clust1
PM_BMR_870	BMR	1444	2018	78	0.58	BMR_2018	clust1
PM_BMR_920	BMR	1494	2018	68	0.32	BMR_2018	clust1
PM_BMR_1042	BMR	1616	2018	77	1.054	BMR_2018	clust1
PM_BMR_654	BMR	1228	2018	82	0.998	BMR_2018	clust1
PM_BMR_441	BMR	1015	2018	101	1.383	BMR_2018	clust1
PM_BMR_507	BMR	1081	2018	93	1.237	BMR_2018	clust1
PM_BMR_451	BMR	1025	2018	93	1.101	BMR_2018	clust1
PM_BMR_709	BMR	1283	2018	124	2.763	BMR_2018	clust1
PM_BMR_1002	BMR	1576	2018	84	0.817	BMR_2018	clust1
PM_BMR_551	BMR	1125	2018	85	0.793	BMR_2018	clust1
PM_BMR_924	BMR	1498	2018	67	0.65	BMR_2018	clust1
PM_BMR_526	BMR	1100	2018	91	0.919	BMR_2018	clust1
PM_BMR_867	BMR	1441	2018	80	0.677	BMR_2018	clust1
PM_BMR_774	BMR	1348	2018	101	1.688	BMR_2018	clust1
PM_BMR_541	BMR	1115	2018	84	0.782	BMR_2018	clust1
PM_BMR_821	BMR	1395	2018	74	0.407	BMR_2018	clust1
PM_BMR_529	BMR	1103	2018	84	0.779	BMR_2018	clust1
PM_BMR_990	BMR	1564	2018	90	1.089	BMR_2018	clust1
PM_BMR_1036	BMR	1610	2018	83	0.664	BMR_2018	clust1
PM_BMR_598	BMR	1172	2018	92	1.054	BMR_2018	clust1
PM_BMR_592	BMR	1166	2018	84	0.756	BMR_2018	clust1
PM_BMR_443	BMR	1017	2018	86	0.866	BMR_2018	clust1
PM_BMR_909	BMR	1483	2018	60	0.54	BMR_2018	clust1
PM_BMR_651	BMR	1225	2018	84	0.777	BMR_2018	clust1
PM_BMR_787	BMR	1361	2018	105	1.558	BMR_2018	clust1
PM_BMR_473	BMR	1047	2018	93	1.112	BMR_2018	clust1
