Missing data from input file BMR_Neestimator_062421.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_BMR_017]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1          148             0000            51
       2           38             0000            44
       3          210             0000            13
       4          218             0000             7
       5           38             0000            12
       6            3             0000           572
       7           12             0000            52
       8          148             0000            41
       9          756             0000             8
      10          218             0000             8
      11            3             0000            12
      12            3             0000            24
      13          238             0000             3
      14          500             0000            11
      15            3             0000             7
      16            3             0000            11
      17          238             0000             7
      18          559             0000            13
      19            3             0000            27
      20            3             0000            30
      21          217             0000             7
      22            3             0000            35
      23            3             0000            38
      24          624             0000            10
      25          756             0000             7
      26            3             0000             9
      27            3             0000            76
      28            3             0000            91
      29          254             0000            22
      30            3             0000            17
      31          254             0000            23
      32            3             0000             7
      33            3             0000            11
      34          401             0000            10
      35          117             0000             6
      36           79             0000            43
      37            3             0000            45
      38            3             0000            16
      39            3             0000            13
      40            3             0000            13
      41          217             0000             8
      42          320             0000             8
      43            2             0000           740
      44            3             0000            83
      45          677             0000            14
      46            3             0000            34
      47          925             0000             6
      48          117             0000            22
      49          433             0000             9
      50            3             0000            10
      51            3             0000            25
      52            3             0000           694
      53            3             0000            68
      54          433             0000             6
      55            3             0000            11
      56            3             0000            17
      57            3             0000           168
      58            3             0000            16
      59           79             0000            37
      60            3             0000           136
      61            3             0000             7
      62            3             0000            11
      63            3             0000            11
      64            3             0000            56
      65            3             0000            18
      66            3             0000            41
      67            3             0000           410
      68            3             0000            15
      69         1037             0000             6
      70            3             0000             6
      71          217             0000             8
      72            3             0000            12
      73            3             0000             8
      74            3             0000             5
      75            3             0000            82
      76            3             0000            13
      77         1037             0000             3
      78            3             0000             9
      79          217             0000             9
      80            3             0000            22
      81           46             0000            19
      82            3             0000            19
      83          210             0000            22
      84            3             0000            29
      85          370             0000            19
      86            3             0000            45
      87          117             0000             5
      88          217             0000             8
      89            3             0000           225
      90           46             0000            74
      91            3             0000             9
      92          148             0000            22
      93            3             0000            13
      94          217             0000            15
      95            3             0000            24
      96          218             0000            15
      97            3             0000            34
      98           38             0000            37
      99          218             0000            11
     100            3             0000            38
     101            3             0000            12
     102            3             0000            16
     103          117             0000            17
     104          210             0000            14
     105           14             0000            10
     106          217             0000             5
     107            1             0000          1966
     108           31             0000           239
     109          218             0000            12
     110          148             0000            15
     111            3             0000            14
     112         1046             0000             6
     113          677             0000            10
     114            3             0000            29
     115          148             0000             6
     116            3             0000            71
