Missing data from input file Neestimator_060921.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_OCQ_001]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1          155             0000            19
       2          113             0000            23
       3          155             0000            23
       4           14             0000           103
       5           81             0000            36
       6           14             0000           149
       7           14             0000           100
       8           14             0000            42
       9          102             0000            29
      10           81             0000            20
      11           14             0000            89
      12           14             0000           105
      13           28             0000            40
      14           14             0000           165
      15           28             0000            46
      16           28             0000            94
      17           81             0000            25
      18           12             0000            58
      19          162             0000            32
      20           14             0000            62
      21           28             0000            69
      22           14             0000            51
      23           14             0000            40
      24           28             0000            45
      25           14             0000            33
      26           28             0000            41
      27           12             0000            24
      28           14             0000            69
      29           28             0000            45
      30           13             0000            32
      31           14             0000           726
      32           81             0000            46
      33           14             0000            68
      34           14             0000            93
      35           14             0000            50
      36           28             0000            88
      37           28             0000            34
      38           28             0000            33
      39           14             0000            58
      40           28             0000            66
      41          138             0000            32
      42           28             0000            32
      43          219             0000            21
      44           25             0000            45
      45           14             0000            17
      46           28             0000            38
      47           81             0000            26
      48          218             0000            21
      49           45             0000            27
      50           28             0000            38
      51           32             0000            70
      52           28             0000            28
      53          276             0000            21
      54           14             0000           120
      55           14             0000            61
      56           14             0000            24
      57          317             0000            24
      58           28             0000            32
      59          212             0000            23
      60           81             0000            24
      61           28             0000            51
      62          102             0000            25
      63           14             0000            72
      64           28             0000            23
      65           28             0000            52
      66           28             0000            40
      67           14             0000            42
      68           28             0000            36
      69           14             0000           168
      70           14             0000            31
      71            1             0000          3076
      72            1             0000          3090
      73           14             0000           149
      74            4             0000          1342
      75           28             0000            30
      76          276             0000            29
      77           14             0000            29
      78           14             0000            93
      79           26             0000            33
      80           28             0000            37
      81          155             0000            25
      82           14             0000            57
      83           81             0000            49
      84           14             0000            72
      85          219             0000            33
      86            3             0000           907
      87           14             0000            33
      88          219             0000            29
      89           28             0000            28
      90           26             0000            54
      91           81             0000            26
      92           28             0000            27
      93           39             0000            45
      94           14             0000           139
      95           14             0000           157
      96           28             0000            29
      97          155             0000            23
      98           13             0000            30
      99          155             0000            28
     100           28             0000            33
     101          119             0000            33
     102          218             0000            30
     103          155             0000            24
     104          155             0000            35
     105            3             0000            33
     106           46             0000            24
     107           28             0000            43
     108           28             0000            49
     109           28             0000            38
     110           81             0000            56
     111           14             0000            25
     112           28             0000            28
     113          332             0000            19
     114           14             0000            35
     115           14             0000            26
     116           14             0000            40
     117           28             0000            29
     118           14             0000            24
     119          219             0000            30
     120           81             0000            22
     121           45             0000            25
     122          113             0000            29
     123          155             0000            17
     124          218             0000            52
     125          155             0000            39
     126          218             0000            28
     127           14             0000           139
     128          219             0000            31
     129           14             0000            77
     130           26             0000            28
     131           52             0000            30
     132           81             0000            28
     133          227             0000            18
     134           81             0000            30
     135           45             0000            26
     136           14             0000            21
     137           28             0000            28
     138           28             0000            31
     139          155             0000            24
     140           28             0000            60
     141          219             0000            23
     142           13             0000            29
     143          652             0000            23
     144           14             0000            25
     145          155             0000            19
     146           14             0000            27
     147           28             0000            57
     148           45             0000            20
     149           81             0000            19
     150           14             0000            99
     151          155             0000            20
     152          344             0000            24
     153           97             0000            33
     154           28             0000            32
     155            5             0000            22
     156           13             0000            20
     157           14             0000            49
     158           13             0000            22
     159           14             0000            41
     160           28             0000            25
     161           77             0000            33
     162            5             0000            89
     163           14             0000            51
     164           28             0000            28
     165           14             0000           153
     166          155             0000            33
     167           14             0000           174
     168           28             0000            37
     169           28             0000           143
     170            8             0000          1084
     171           28             0000            28
     172            9             0000            21
     173           46             0000            26
     174           39             0000            25
     175          201             0000            23
     176          219             0000            20
     177           46             0000            36
     178           14             0000            33
     179           28             0000            26
     180           14             0000            67
     181           28             0000            36
     182           14             0000            23
     183           93             0000            19
     184           95             0000            26
     185           77             0000            23
     186           95             0000            38
     187          363             0000            24
     188           28             0000            35
     189           28             0000            46
     190           81             0000            21
     191          155             0000            20
     192           14             0000            32
     193            1             0000          3091
     194          275             0000            22
     195           13             0000            25
     196           28             0000            21
     197          109             0000            19
     198           45             0000            29
     199           46             0000            24
     200          338             0000            20
     201            9             0000            29
     202          155             0000            23
     203           28             0000            28
     204           14             0000            48
     205           28             0000            32
     206           14             0000            31
     207           28             0000           140
     208           14             0000           130
     209           28             0000            36
     210           14             0000            28
     211          189             0000            27
     212           28             0000            55
     213           28             0000            34
     214           14             0000            77
     215           14             0000            29
     216           14             0000            79
     217           45             0000            24
     218           81             0000            20
     219          155             0000            28
     220            9             0000            26
     221          162             0000            34
     222           14             0000            24
     223            3             0000           726
     224           15             0000            88
     225          155             0000            24
     226          219             0000            29
     227           14             0000            44
     228           45             0000            29
     229           14             0000           105
     230           30             0000            22
