Missing data from input file OCQNeestimator_062421.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PM_OCQ_001]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1          218             0000             5
       2          756             0000             6
       3         2042             0000             4
       4            3             0000            50
       5           79             0000            12
       6            3             0000            80
       7            3             0000            38
       8            3             0000            16
       9          303             0000             5
      10           79             0000             6
      11            3             0000            39
      12            3             0000            43
      13          275             0000            14
      14            3             0000            86
      15          742             0000            21
      16           38             0000            40
      17           79             0000             7
      18            3             0000            17
      19          330             0000             9
      20            3             0000            20
      21          218             0000            23
      22            3             0000            22
      23            3             0000            12
      24           79             0000            18
      25            3             0000             8
      26           79             0000             9
      27          218             0000             6
      28            3             0000            27
      29          218             0000            16
      30           12             0000            13
      31            3             0000           419
      32           79             0000            14
      33            3             0000            30
      34            3             0000            42
      35            3             0000            19
      36           79             0000            36
      37          756             0000             8
      38          742             0000             7
      39            3             0000            18
      40           46             0000            26
      41          137             0000             7
      42          320             0000             8
      43          218             0000             8
      44           14             0000            17
      45            3             0000             7
      46          218             0000            15
      47           79             0000             8
      48          217             0000             3
      49          218             0000             5
      50           79             0000            12
      51           79             0000            33
      52          756             0000             8
      53          677             0000             8
      54            3             0000            47
      55            3             0000            24
      56            3             0000             8
      57          500             0000             5
      58          217             0000             9
      59         2053             0000             3
      60           79             0000             6
      61           79             0000            17
      62          756             0000             5
      63            3             0000            30
      64         1216             0000             5
      65          218             0000            20
      66          254             0000            14
      67            3             0000            17
      68         1390             0000             9
      69            3             0000            75
      70            3             0000            14
      71            1             0000          3062
      72            1             0000          3086
      73            3             0000            63
      74            3             0000           826
      75          756             0000            10
      76          756             0000             6
      77            3             0000            11
      78            3             0000            41
      79           79             0000            15
      80          218             0000            10
      81          283             0000             8
      82            3             0000            23
      83           79             0000            17
      84            3             0000            37
      85          218             0000             6
      86            3             0000           542
      87            3             0000             9
      88          559             0000             5
      89          283             0000             9
      90          218             0000            19
      91           79             0000             8
      92          756             0000             5
      93           38             0000            18
      94            3             0000            67
      95            3             0000            74
      96         1177             0000             9
      97          742             0000             7
      98           12             0000             7
      99          836             0000             9
     100          275             0000            11
     101         1996             0000             5
     102          217             0000             8
     103          756             0000             5
     104          218             0000             6
     105          756             0000             4
     106          756             0000             6
     107           79             0000            17
     108           79             0000             9
     109          449             0000             7
     110           79             0000            23
     111            3             0000             7
     112          218             0000             9
     113          330             0000             3
     114            3             0000            10
     115            3             0000             8
     116            3             0000            10
     117         1133             0000             8
     118            3             0000             7
     119         1037             0000             7
     120           79             0000             8
     121          283             0000             9
     122          742             0000             7
     123          422             0000             5
     124          217             0000            25
     125          742             0000             8
     126          217             0000            10
     127            3             0000            64
     128          218             0000             6
     129            3             0000            28
     130          275             0000            11
     131           51             0000            10
     132           79             0000             9
     133          500             0000             3
     134           79             0000            11
     135         1838             0000             6
     136            3             0000             7
     137          218             0000            13
     138           79             0000             6
     139         1037             0000             5
     140          217             0000            18
