ClusterIndex	Probability	OffspringID	FatherID	MotherID
2	1	0.9117	PM_BMR_002	*1	#1
3	2	0.9990	PM_BMR_003	*2	#2
4	2	0.9990	PM_BMR_005	*2	#2
5	2	0.9990	PM_BMR_011	*2	#2
6	2	0.9990	PM_BMR_012	*2	#2
7	2	0.9990	PM_BMR_013	*2	#2
8	2	0.9990	PM_BMR_014	*2	#2
9	2	0.9990	PM_BMR_679	*2	#2
10	2	0.9990	PM_BMR_680	*2	#2
11	2	0.9990	PM_BMR_683	*2	#2
12	2	0.9990	PM_BMR_684	*2	#2
13	2	0.9990	PM_BMR_685	*2	#2
14	2	0.9990	PM_BMR_686	*2	#2
15	2	0.9990	PM_BMR_687	*2	#2
16	2	0.9990	PM_BMR_689	*2	#2
17	2	0.9990	PM_BMR_691	*2	#2
18	2	0.9990	PM_BMR_692	*2	#2
19	3	1.0000	PM_BMR_004	*3	#3
20	3	1.0000	PM_BMR_006	*3	#3
21	3	1.0000	PM_BMR_677	*3	#3
22	3	1.0000	PM_BMR_681	*3	#3
23	3	1.0000	PM_BMR_682	*3	#3
24	3	1.0000	PM_BMR_688	*3	#3
25	4	0.9111	PM_BMR_009	*4	#4
26	5	0.9980	PM_BMR_010	*5	#5
27	6	0.2406	PM_BMR_218	*6	#6
28	6	0.2406	PM_BMR_221	*6	#7
29	6	0.2406	PM_BMR_226	*6	#6
30	6	0.2406	PM_BMR_690	*6	#8
