ClusterIndex	Probability	OffspringID	FatherID	MotherID
1	0.1548	PM_BMR_001	1	1
1	0.1548	PM_BMR_018	3	3
1	0.1548	PM_BMR_019	4	4
1	0.1548	PM_BMR_020	5	5
1	0.1548	PM_BMR_021	6	6
1	0.1548	PM_BMR_025	5	8
1	0.1548	PM_BMR_026	8	9
1	0.1548	PM_BMR_027	9	5
1	0.1548	PM_BMR_029	8	10
1	0.1548	PM_BMR_030	10	10
1	0.1548	PM_BMR_033	10	10
1	0.1548	PM_BMR_034	1	11
1	0.1548	PM_BMR_036	11	12
1	0.1548	PM_BMR_037	9	10
1	0.1548	PM_BMR_038	11	12
1	0.1548	PM_BMR_039	6	6
1	0.1548	PM_BMR_040	8	10
1	0.1548	PM_BMR_041	4	4
1	0.1548	PM_BMR_042	1	11
1	0.1548	PM_BMR_043	1	13
1	0.1548	PM_BMR_044	6	6
1	0.1548	PM_BMR_045	12	4
1	0.1548	PM_BMR_047	5	14
1	0.1548	PM_BMR_049	6	16
1	0.1548	PM_BMR_051	9	5
1	0.1548	PM_BMR_053	1	11
1	0.1548	PM_BMR_054	6	16
1	0.1548	PM_BMR_055	15	17
1	0.1548	PM_BMR_056	6	6
1	0.1548	PM_BMR_057	11	12
1	0.1548	PM_BMR_058	6	16
1	0.1548	PM_BMR_059	9	5
1	0.1548	PM_BMR_060	16	18
1	0.1548	PM_BMR_061	4	4
1	0.1548	PM_BMR_062	4	4
1	0.1548	PM_BMR_063	10	10
1	0.1548	PM_BMR_065	11	12
1	0.1548	PM_BMR_066	17	19
1	0.1548	PM_BMR_068	18	17
1	0.1548	PM_BMR_069	1	20
1	0.1548	PM_BMR_070	12	4
1	0.1548	PM_BMR_071	1	11
1	0.1548	PM_BMR_072	4	4
1	0.1548	PM_BMR_073	1	13
1	0.1548	PM_BMR_074	10	10
1	0.1548	PM_BMR_075	10	10
1	0.1548	PM_BMR_076	1	11
1	0.1548	PM_BMR_077	1	11
1	0.1548	PM_BMR_078	6	6
1	0.1548	PM_BMR_079	1	11
1	0.1548	PM_BMR_080	19	10
1	0.1548	PM_BMR_081	1	20
1	0.1548	PM_BMR_082	1	11
1	0.1548	PM_BMR_083	11	12
1	0.1548	PM_BMR_084	20	4
1	0.1548	PM_BMR_085	4	4
1	0.1548	PM_BMR_086	12	4
1	0.1548	PM_BMR_089	1	11
1	0.1548	PM_BMR_090	4	4
1	0.1548	PM_BMR_093	1	13
1	0.1548	PM_BMR_094	1	11
1	0.1548	PM_BMR_095	4	4
1	0.1548	PM_BMR_096	11	12
1	0.1548	PM_BMR_097	1	11
1	0.1548	PM_BMR_099	4	4
1	0.1548	PM_BMR_1001	15	17
1	0.1548	PM_BMR_1005	8	10
1	0.1548	PM_BMR_1007	1	13
1	0.1548	PM_BMR_1009	19	10
1	0.1548	PM_BMR_101	1	11
1	0.1548	PM_BMR_1011	4	4
1	0.1548	PM_BMR_1012	4	4
1	0.1548	PM_BMR_1014	8	10
1	0.1548	PM_BMR_1015	4	4
1	0.1548	PM_BMR_1016	16	18
1	0.1548	PM_BMR_1017	8	10
1	0.1548	PM_BMR_1018	1	11
1	0.1548	PM_BMR_102	8	10
1	0.1548	PM_BMR_1021	4	4
1	0.1548	PM_BMR_1022	6	16
1	0.1548	PM_BMR_1023	4	4
1	0.1548	PM_BMR_1025	4	4
1	0.1548	PM_BMR_1027	1	11
1	0.1548	PM_BMR_1028	9	5
1	0.1548	PM_BMR_1029	5	5
1	0.1548	PM_BMR_103	11	12
1	0.1548	PM_BMR_1031	8	10
1	0.1548	PM_BMR_1032	4	4
1	0.1548	PM_BMR_1033	1	11
1	0.1548	PM_BMR_1035	16	18
1	0.1548	PM_BMR_1036	8	10
1	0.1548	PM_BMR_1037	6	16
1	0.1548	PM_BMR_1039	1	11
1	0.1548	PM_BMR_104	1	11
1	0.1548	PM_BMR_1040	6	16
1	0.1548	PM_BMR_1042	4	4
1	0.1548	PM_BMR_1043	8	10
1	0.1548	PM_BMR_1045	1	11
1	0.1548	PM_BMR_1047	19	10
1	0.1548	PM_BMR_1048	5	10
1	0.1548	PM_BMR_1049	19	3
1	0.1548	PM_BMR_105	6	16
1	0.1548	PM_BMR_1051	1	13
1	0.1548	PM_BMR_1053	1	11
1	0.1548	PM_BMR_1054	1	11
1	0.1548	PM_BMR_106	5	5
1	0.1548	PM_BMR_109	8	10
1	0.1548	PM_BMR_110	6	16
1	0.1548	PM_BMR_111	10	10
1	0.1548	PM_BMR_113	12	4
1	0.1548	PM_BMR_115	1	11
1	0.1548	PM_BMR_116	4	4
1	0.1548	PM_BMR_117	1	11
1	0.1548	PM_BMR_118	4	4
1	0.1548	PM_BMR_119	19	10
1	0.1548	PM_BMR_121	6	16
1	0.1548	PM_BMR_122	1	11
1	0.1548	PM_BMR_124	9	21
1	0.1548	PM_BMR_126	4	4
1	0.1548	PM_BMR_131	23	23
1	0.1548	PM_BMR_132	24	24
1	0.1548	PM_BMR_133	15	17
1	0.1548	PM_BMR_134	25	24
1	0.1548	PM_BMR_135	26	23
1	0.1548	PM_BMR_136	27	12
1	0.1548	PM_BMR_137	28	17
1	0.1548	PM_BMR_138	29	6
1	0.1548	PM_BMR_139	30	17
1	0.1548	PM_BMR_140	24	24
1	0.1548	PM_BMR_141	11	12
1	0.1548	PM_BMR_142	19	10
1	0.1548	PM_BMR_143	31	25
1	0.1548	PM_BMR_145	33	27
1	0.1548	PM_BMR_146	27	6
1	0.1548	PM_BMR_147	33	28
1	0.1548	PM_BMR_149	24	24
1	0.1548	PM_BMR_151	28	17
1	0.1548	PM_BMR_153	31	25
1	0.1548	PM_BMR_154	31	29
1	0.1548	PM_BMR_155	4	4
1	0.1548	PM_BMR_156	24	17
1	0.1548	PM_BMR_157	27	6
1	0.1548	PM_BMR_160	31	25
1	0.1548	PM_BMR_161	25	24
1	0.1548	PM_BMR_162	33	25
1	0.1548	PM_BMR_163	29	6
1	0.1548	PM_BMR_164	26	23
1	0.1548	PM_BMR_165	28	17
1	0.1548	PM_BMR_166	23	23
1	0.1548	PM_BMR_167	34	31
1	0.1548	PM_BMR_168	23	32
1	0.1548	PM_BMR_169	24	24
1	0.1548	PM_BMR_170	1	11
1	0.1548	PM_BMR_171	34	33
1	0.1548	PM_BMR_172	35	34
1	0.1548	PM_BMR_173	11	12
1	0.1548	PM_BMR_174	27	12
1	0.1548	PM_BMR_175	24	24
1	0.1548	PM_BMR_176	33	25
1	0.1548	PM_BMR_177	23	23
1	0.1548	PM_BMR_178	34	33
1	0.1548	PM_BMR_179	4	4
1	0.1548	PM_BMR_182	11	12
1	0.1548	PM_BMR_183	27	12
1	0.1548	PM_BMR_184	6	16
1	0.1548	PM_BMR_185	12	12
1	0.1548	PM_BMR_187	30	17
1	0.1548	PM_BMR_188	4	4
1	0.1548	PM_BMR_189	11	12
1	0.1548	PM_BMR_191	31	25
1	0.1548	PM_BMR_192	35	34
1	0.1548	PM_BMR_193	30	17
1	0.1548	PM_BMR_195	30	17
1	0.1548	PM_BMR_196	35	34
1	0.1548	PM_BMR_197	15	17
1	0.1548	PM_BMR_198	34	27
1	0.1548	PM_BMR_200	26	23
1	0.1548	PM_BMR_201	33	27
1	0.1548	PM_BMR_202	17	12
1	0.1548	PM_BMR_203	23	23
1	0.1548	PM_BMR_204	33	27
1	0.1548	PM_BMR_205	25	37
1	0.1548	PM_BMR_206	4	4
1	0.1548	PM_BMR_207	34	27
1	0.1548	PM_BMR_209	15	17
1	0.1548	PM_BMR_210	35	25
1	0.1548	PM_BMR_212	27	6
1	0.1548	PM_BMR_213	6	16
1	0.1548	PM_BMR_214	33	25
1	0.1548	PM_BMR_215	33	27
1	0.1548	PM_BMR_216	30	17
1	0.1548	PM_BMR_217	35	34
1	0.1548	PM_BMR_219	11	12
1	0.1548	PM_BMR_220	34	27
1	0.1548	PM_BMR_222	8	10
1	0.1548	PM_BMR_224	25	24
1	0.1548	PM_BMR_225	25	24
1	0.1548	PM_BMR_228	34	31
1	0.1548	PM_BMR_229	28	17
1	0.1548	PM_BMR_230	29	32
1	0.1548	PM_BMR_231	11	12
1	0.1548	PM_BMR_232	26	23
1	0.1548	PM_BMR_233	27	12
1	0.1548	PM_BMR_234	23	32
1	0.1548	PM_BMR_235	4	4
1	0.1548	PM_BMR_236	33	25
1	0.1548	PM_BMR_237	11	12
1	0.1548	PM_BMR_238	27	12
1	0.1548	PM_BMR_239	35	34
1	0.1548	PM_BMR_242	25	24
1	0.1548	PM_BMR_245	8	10
1	0.1548	PM_BMR_246	25	24
1	0.1548	PM_BMR_247	25	24
1	0.1548	PM_BMR_248	31	25
1	0.1548	PM_BMR_249	24	24
1	0.1548	PM_BMR_250	1	11
1	0.1548	PM_BMR_251	26	23
1	0.1548	PM_BMR_252	34	33
1	0.1548	PM_BMR_253	31	25
1	0.1548	PM_BMR_254	27	12
1	0.1548	PM_BMR_256	28	17
1	0.1548	PM_BMR_257	31	25
1	0.1548	PM_BMR_258	5	5
1	0.1548	PM_BMR_259	25	37
1	0.1548	PM_BMR_260	25	37
1	0.1548	PM_BMR_261	33	27
1	0.1548	PM_BMR_264	30	17
1	0.1548	PM_BMR_266	11	12
1	0.1548	PM_BMR_267	25	24
1	0.1548	PM_BMR_268	27	6
1	0.1548	PM_BMR_269	31	29
1	0.1548	PM_BMR_273	24	17
1	0.1548	PM_BMR_274	24	24
1	0.1548	PM_BMR_275	30	17
1	0.1548	PM_BMR_276	25	24
1	0.1548	PM_BMR_278	5	14
1	0.1548	PM_BMR_280	15	17
1	0.1548	PM_BMR_281	4	4
1	0.1548	PM_BMR_282	23	23
1	0.1548	PM_BMR_283	34	31
1	0.1548	PM_BMR_284	4	4
1	0.1548	PM_BMR_286	31	25
1	0.1548	PM_BMR_287	11	12
1	0.1548	PM_BMR_288	28	17
1	0.1548	PM_BMR_290	1	11
1	0.1548	PM_BMR_291	31	25
1	0.1548	PM_BMR_292	11	12
1	0.1548	PM_BMR_296	23	23
1	0.1548	PM_BMR_297	34	27
1	0.1548	PM_BMR_298	24	24
1	0.1548	PM_BMR_299	23	23
1	0.1548	PM_BMR_301	15	17
1	0.1548	PM_BMR_302	30	17
1	0.1548	PM_BMR_303	34	31
1	0.1548	PM_BMR_305	34	31
1	0.1548	PM_BMR_306	29	6
1	0.1548	PM_BMR_307	25	37
1	0.1548	PM_BMR_309	11	12
1	0.1548	PM_BMR_310	6	16
1	0.1548	PM_BMR_311	38	17
1	0.1548	PM_BMR_312	24	24
1	0.1548	PM_BMR_313	1	11
1	0.1548	PM_BMR_316	19	10
1	0.1548	PM_BMR_318	31	25
1	0.1548	PM_BMR_320	31	25
1	0.1548	PM_BMR_321	1	11
1	0.1548	PM_BMR_322	1	13
1	0.1548	PM_BMR_323	15	18
1	0.1548	PM_BMR_324	5	21
1	0.1548	PM_BMR_327	10	10
1	0.1548	PM_BMR_328	6	16
1	0.1548	PM_BMR_330	6	16
1	0.1548	PM_BMR_331	40	18
1	0.1548	PM_BMR_332	19	10
1	0.1548	PM_BMR_334	16	18
