OffspringID	FatherID	MotherID	ClusterIndex
PM_BMR_001	1	1	1
PM_BMR_002	2	2	2
PM_BMR_003	3	2	2
PM_BMR_004	4	3	3
PM_BMR_005	3	2	2
PM_BMR_006	4	3	3
PM_BMR_009	5	2	2
PM_BMR_010	6	2	2
PM_BMR_011	3	2	2
PM_BMR_012	3	2	2
PM_BMR_013	3	2	2
PM_BMR_014	3	2	2
PM_BMR_017	7	4	1
PM_BMR_018	8	5	1
PM_BMR_019	9	6	1
PM_BMR_020	10	7	1
PM_BMR_021	11	8	1
PM_BMR_022	12	9	1
PM_BMR_025	13	7	1
PM_BMR_026	14	10	1
PM_BMR_027	10	11	1
PM_BMR_028	12	4	1
PM_BMR_029	15	10	1
PM_BMR_030	15	12	1
PM_BMR_033	15	12	1
PM_BMR_034	16	1	1
PM_BMR_035	12	4	1
PM_BMR_036	17	13	1
PM_BMR_037	15	11	1
PM_BMR_038	17	13	1
PM_BMR_039	11	8	1
PM_BMR_040	15	10	1
PM_BMR_041	9	6	1
PM_BMR_042	16	1	1
PM_BMR_043	18	1	1
PM_BMR_044	11	8	1
PM_BMR_045	9	14	1
PM_BMR_046	12	15	1
PM_BMR_047	19	7	1
PM_BMR_048	20	16	4
PM_BMR_049	21	8	1
PM_BMR_050	12	9	1
PM_BMR_051	10	11	1
PM_BMR_052	20	16	4
PM_BMR_053	16	1	1
PM_BMR_054	21	8	1
PM_BMR_055	22	17	1
PM_BMR_056	11	8	1
PM_BMR_057	17	13	1
PM_BMR_058	21	8	1
PM_BMR_059	10	11	1
PM_BMR_060	23	18	1
PM_BMR_061	9	6	1
PM_BMR_062	9	6	1
PM_BMR_063	15	12	1
PM_BMR_064	12	4	1
PM_BMR_065	17	13	1
PM_BMR_066	24	19	1
PM_BMR_067	12	9	1
PM_BMR_068	22	20	1
PM_BMR_069	25	1	1
PM_BMR_070	9	14	1
PM_BMR_071	16	1	1
PM_BMR_072	9	6	1
PM_BMR_073	18	1	1
PM_BMR_074	15	12	1
PM_BMR_075	15	12	1
PM_BMR_076	16	1	1
PM_BMR_077	16	1	1
PM_BMR_078	11	8	1
PM_BMR_079	16	1	1
PM_BMR_080	15	21	1
PM_BMR_081	25	1	1
PM_BMR_082	16	1	1
PM_BMR_083	17	13	1
PM_BMR_084	9	22	1
PM_BMR_085	9	6	1
PM_BMR_086	9	14	1
PM_BMR_087	20	16	4
PM_BMR_088	12	9	1
PM_BMR_089	16	1	1
PM_BMR_090	9	6	1
PM_BMR_091	20	16	4
PM_BMR_092	12	9	1
PM_BMR_093	18	1	1
PM_BMR_094	16	1	1
PM_BMR_095	9	6	1
PM_BMR_096	17	13	1
PM_BMR_097	16	1	1
PM_BMR_098	12	9	1
PM_BMR_099	9	6	1
PM_BMR_100	12	4	1
PM_BMR_1000	12	23	1
PM_BMR_1001	22	17	1
PM_BMR_1002	12	4	1
PM_BMR_1003	12	15	1
PM_BMR_1004	12	4	1
PM_BMR_1005	15	10	1
PM_BMR_1006	12	4	1
PM_BMR_1007	18	1	1
PM_BMR_1008	12	9	1
PM_BMR_1009	15	21	1
PM_BMR_101	16	1	1
PM_BMR_1010	12	23	1
PM_BMR_1011	9	6	1
PM_BMR_1012	9	6	1
PM_BMR_1013	12	4	1
PM_BMR_1014	15	10	1
PM_BMR_1015	9	6	1
PM_BMR_1016	23	18	1
PM_BMR_1017	15	10	1
PM_BMR_1018	16	1	1
PM_BMR_1019	12	9	1
PM_BMR_102	15	10	1
PM_BMR_1020	12	9	1
PM_BMR_1021	9	6	1
PM_BMR_1022	21	8	1
PM_BMR_1023	9	6	1
PM_BMR_1024	12	4	1
PM_BMR_1025	9	6	1
PM_BMR_1026	12	4	1
PM_BMR_1027	16	1	1
PM_BMR_1028	10	11	1
PM_BMR_1029	10	7	1
PM_BMR_103	17	13	1
PM_BMR_1030	20	16	4
PM_BMR_1031	15	10	1
PM_BMR_1032	9	6	1
PM_BMR_1033	16	1	1
PM_BMR_1034	12	4	1
PM_BMR_1035	23	18	1
PM_BMR_1036	15	10	1
PM_BMR_1037	21	8	1
PM_BMR_1038	12	15	1
