ClusterIndex	Probability	OffspringID	FatherID	MotherID
2	1	1.0000	PM_BMR_1055	*1	#1
3	1	1.0000	PM_BMR_1056	*1	#1
4	1	1.0000	PM_BMR_1058	*1	#1
5	1	1.0000	PM_BMR_1059	*1	#1
6	1	1.0000	PM_BMR_1061	*1	#1
7	1	1.0000	PM_BMR_1064	*1	#1
8	1	1.0000	PM_BMR_1065	*1	#1
9	1	1.0000	PM_BMR_1069	*1	#1
10	1	1.0000	PM_BMR_1070	*1	#1
11	1	1.0000	PM_BMR_1074	*1	#1
12	1	1.0000	PM_BMR_1077	*1	#1
13	1	1.0000	PM_BMR_1079	*1	#1
14	1	1.0000	PM_BMR_1080	*1	#1
15	1	1.0000	PM_BMR_1082	*1	#1
16	1	1.0000	PM_BMR_1087	*1	#1
17	2	1.0000	PM_BMR_1057	*2	#2
18	2	1.0000	PM_BMR_1078	*2	#2
19	2	1.0000	PM_BMR_1089	*2	#2
20	3	0.5000	PM_BMR_1060	*3	#3
21	3	0.5000	PM_BMR_1062	*3	#4
22	3	0.5000	PM_BMR_1066	*3	#4
23	3	0.5000	PM_BMR_1068	*3	#4
24	3	0.5000	PM_BMR_1071	*3	#4
25	3	0.5000	PM_BMR_1075	*3	#4
26	3	0.5000	PM_BMR_1076	*3	#6
27	3	0.5000	PM_BMR_1081	*3	#4
28	3	0.5000	PM_BMR_1085	*3	#4
29	3	0.5000	PM_BMR_1086	*3	#4
30	4	1.0000	PM_BMR_1063	*4	#5
31	4	1.0000	PM_BMR_1072	*5	#5
32	4	1.0000	PM_BMR_1073	*4	#5
33	4	1.0000	PM_BMR_1083	*5	#7
34	4	1.0000	PM_BMR_1084	*6	#7
35	4	1.0000	PM_BMR_1088	*5	#5
