OffspringID	FatherID	MotherID	ClusterIndex
PM_BMR_001	1	1	1
PM_BMR_002	2	2	2
PM_BMR_003	2	3	2
PM_BMR_004	3	4	3
PM_BMR_005	2	3	2
PM_BMR_006	3	4	3
PM_BMR_009	2	5	2
PM_BMR_010	2	6	2
PM_BMR_011	2	3	2
PM_BMR_012	2	3	2
PM_BMR_013	2	3	2
PM_BMR_014	2	3	2
PM_BMR_017	4	7	4
PM_BMR_018	5	8	1
PM_BMR_019	6	9	1
PM_BMR_020	7	10	1
PM_BMR_021	8	11	1
PM_BMR_022	9	12	4
PM_BMR_025	10	10	1
PM_BMR_026	11	13	1
PM_BMR_027	7	14	1
PM_BMR_028	4	12	4
PM_BMR_029	12	13	1
PM_BMR_030	12	15	1
PM_BMR_033	12	15	1
PM_BMR_034	13	1	1
PM_BMR_035	4	12	4
PM_BMR_036	14	16	1
PM_BMR_037	12	14	1
PM_BMR_038	14	16	1
PM_BMR_039	8	11	1
PM_BMR_040	12	13	1
PM_BMR_041	6	9	1
PM_BMR_042	13	1	1
PM_BMR_043	15	1	1
PM_BMR_044	8	11	1
PM_BMR_045	6	17	1
PM_BMR_046	16	12	4
PM_BMR_047	17	10	1
PM_BMR_048	18	18	5
PM_BMR_049	19	11	1
PM_BMR_050	9	12	4
PM_BMR_051	7	14	1
PM_BMR_052	18	18	5
PM_BMR_053	13	1	1
PM_BMR_054	19	11	1
PM_BMR_055	20	19	1
PM_BMR_056	8	11	1
PM_BMR_057	14	16	1
PM_BMR_058	19	11	1
PM_BMR_059	7	14	1
PM_BMR_060	21	20	1
PM_BMR_061	6	9	1
PM_BMR_062	6	9	1
PM_BMR_063	12	15	1
PM_BMR_064	4	12	4
PM_BMR_065	14	16	1
PM_BMR_066	22	21	1
PM_BMR_067	9	12	4
PM_BMR_068	20	22	1
PM_BMR_069	23	1	1
PM_BMR_070	6	17	1
PM_BMR_071	13	1	1
PM_BMR_072	6	9	1
PM_BMR_073	15	1	1
PM_BMR_074	12	15	1
PM_BMR_075	12	15	1
PM_BMR_076	13	1	1
PM_BMR_077	13	1	1
PM_BMR_078	8	11	1
PM_BMR_079	13	1	1
PM_BMR_080	12	23	1
PM_BMR_081	23	1	1
PM_BMR_082	13	1	1
PM_BMR_083	14	16	1
PM_BMR_084	6	24	1
PM_BMR_085	6	9	1
PM_BMR_086	6	17	1
PM_BMR_087	18	18	5
PM_BMR_088	9	12	4
PM_BMR_089	13	1	1
PM_BMR_090	6	9	1
PM_BMR_091	18	18	5
PM_BMR_092	9	12	4
PM_BMR_093	15	1	1
PM_BMR_094	13	1	1
PM_BMR_095	6	9	1
PM_BMR_096	14	16	1
PM_BMR_097	13	1	1
PM_BMR_098	9	12	4
PM_BMR_099	6	9	1
PM_BMR_100	4	12	4
PM_BMR_1000	24	12	4
PM_BMR_1001	20	19	1
PM_BMR_1002	4	12	4
PM_BMR_1003	16	12	4
PM_BMR_1004	4	12	4
PM_BMR_1005	12	13	1
PM_BMR_1006	4	12	4
PM_BMR_1007	15	1	1
PM_BMR_1008	9	12	4
PM_BMR_1009	12	23	1
PM_BMR_101	13	1	1
PM_BMR_1010	24	12	4
PM_BMR_1011	6	9	1
PM_BMR_1012	6	9	1
PM_BMR_1013	4	12	4
PM_BMR_1014	12	13	1
PM_BMR_1015	6	9	1
PM_BMR_1016	21	20	1
PM_BMR_1017	12	13	1
PM_BMR_1018	13	1	1
PM_BMR_1019	9	12	4
PM_BMR_102	12	13	1
PM_BMR_1020	9	12	4
PM_BMR_1021	6	9	1
PM_BMR_1022	19	11	1
PM_BMR_1023	6	9	1
PM_BMR_1024	4	12	4
PM_BMR_1025	6	9	1
PM_BMR_1026	4	12	4
PM_BMR_1027	13	1	1
PM_BMR_1028	7	14	1
PM_BMR_1029	7	10	1
PM_BMR_103	14	16	1
PM_BMR_1030	18	18	5
PM_BMR_1031	12	13	1
PM_BMR_1032	6	9	1
PM_BMR_1033	13	1	1
PM_BMR_1034	4	12	4
PM_BMR_1035	21	20	1
PM_BMR_1036	12	13	1
PM_BMR_1037	19	11	1
PM_BMR_1038	16	12	4
