ID	Year_collect	Length	Weight	cohort	Father	Mother	Cluster
PM_BMR_001	2017	25	0.008	2017	1	1	1
PM_BMR_002	2017	32	0.029	2017	1	1	1
PM_BMR_003	2017	24	0.013	2017	2	2	2
PM_BMR_004	2017	22	0.014	2017	3	3	3
PM_BMR_005	2017	27	0.017	2017	2	2	2
PM_BMR_006	2017	22	0.008	2017	3	3	3
PM_BMR_009	2017	27	0.017	2017	1	1	1
PM_BMR_010	2017	27	0.012	2017	1	1	1
PM_BMR_011	2017	28	0.018	2017	2	2	2
PM_BMR_012	2017	21	0.011	2017	2	2	2
PM_BMR_013	2017	23	0.015	2017	2	2	2
PM_BMR_014	2017	24	0.011	2017	2	2	2
PM_BMR_017	2017	61	0.208	2016	1	1	1
PM_BMR_018	2017	53	0.135	2016	1	1	1
PM_BMR_019	2017	57	0.21	2016	4	4	4
PM_BMR_020	2017	56	0.172	2016	5	5	5
PM_BMR_021	2017	57	0.201	2016	6	6	4
PM_BMR_022	2017	59	0.175	2016	7	7	6
PM_BMR_023	2017	32	0.078	2017	8	8	7
PM_BMR_025	2017	77	0.462	2015	1	1	1
PM_BMR_026	2017	81	0.502	2015	9	9	5
PM_BMR_027	2017	80	0.496	2015	5	10	5
PM_BMR_028	2017	76	0.421	2015	7	11	6
PM_BMR_029	2017	86	0.387	2015	10	12	5
PM_BMR_030	2017	79	0.439	2015	10	13	5
PM_BMR_033	2017	93	0.718	2015	10	13	5
PM_BMR_034	2017	77	0.441	2015	11	14	5
PM_BMR_035	2017	81	0.406	2015	7	11	6
PM_BMR_036	2017	79	0.356	2015	12	15	4
PM_BMR_037	2017	84	0.578	2015	10	10	5
PM_BMR_038	2017	82	0.477	2015	12	15	4
PM_BMR_039	2017	76	0.35	2015	6	6	4
PM_BMR_040	2017	101	0.974	2015	10	12	5
PM_BMR_041	2017	77	0.363	2015	4	4	4
PM_BMR_042	2017	84	0.502	2015	11	14	5
PM_BMR_043	2017	79	0.327	2015	13	14	5
PM_BMR_044	2017	76	0.474	2015	6	6	4
PM_BMR_045	2017	76	0.368	2015	14	4	4
PM_BMR_046	2017	80	0.493	2015	7	16	6
PM_BMR_047	2017	90	0.565	2015	15	5	5
PM_BMR_048	2017	77	0.439	2015	16	17	8
PM_BMR_049	2017	84	0.603	2015	6	18	4
PM_BMR_050	2017	82	0.398	2015	7	7	6
PM_BMR_051	2017	77	0.454	2015	5	10	5
PM_BMR_052	2017	81	0.561	2015	16	17	8
PM_BMR_053	2017	73	0.346	2016	11	14	5
PM_BMR_054	2017	72	0.392	2016	6	18	4
PM_BMR_055	2017	66	0.301	2016	17	19	5
PM_BMR_056	2017	71	0.337	2016	6	6	4
PM_BMR_057	2017	72	0.31	2016	12	15	4
PM_BMR_058	2017	68	0.246	2016	6	18	4
PM_BMR_059	2017	66	0.238	2016	5	10	5
PM_BMR_060	2017	67	0.267	2016	18	20	5
PM_BMR_061	2017	62	0.179	2016	4	4	4
PM_BMR_062	2017	67	0.23	2016	4	4	4
PM_BMR_063	2017	70	0.248	2016	10	13	5
