OffspringID	FatherID	MotherID	ClusterIndex
PM_BMR_001	1	1	1
PM_BMR_002	2	2	1
PM_BMR_003	2	3	1
PM_BMR_004	3	4	2
PM_BMR_005	2	3	1
PM_BMR_006	3	4	2
PM_BMR_009	2	5	1
PM_BMR_010	2	6	1
PM_BMR_011	2	3	1
PM_BMR_012	2	3	1
PM_BMR_013	2	3	1
PM_BMR_014	2	3	1
PM_BMR_017	4	7	1
PM_BMR_018	5	2	1
PM_BMR_019	6	8	3
PM_BMR_020	7	6	1
PM_BMR_021	8	5	1
PM_BMR_022	9	2	1
PM_BMR_025	10	5	1
PM_BMR_026	1	9	1
PM_BMR_027	7	10	1
PM_BMR_028	4	2	1
PM_BMR_029	11	9	1
PM_BMR_030	11	11	1
PM_BMR_033	11	11	1
PM_BMR_034	1	12	1
PM_BMR_035	4	2	1
PM_BMR_036	12	13	4
PM_BMR_037	11	10	1
PM_BMR_038	12	13	4
PM_BMR_039	8	5	1
PM_BMR_040	11	9	1
PM_BMR_041	6	8	3
PM_BMR_042	1	12	1
