OffspringID	FatherID	MotherID	ClusterIndex
PM_CHE_001	1	1	1
PM_CHE_002	1	1	1
PM_CHE_005	2	2	2
PM_CHE_006	2	2	2
PM_CHE_007	1	1	1
PM_CHE_008	1	3	1
PM_CHE_009	3	4	3
PM_CHE_010	1	1	1
PM_CHE_013	4	1	1
PM_CHE_014	2	2	2
PM_CHE_015	1	3	1
PM_CHE_016	1	3	1
PM_CHE_017	1	1	1
PM_CHE_018	1	3	1
PM_CHE_021	4	1	1
PM_CHE_022	5	5	4
PM_CHE_023	1	3	1
PM_CHE_024	1	3	1
PM_CHE_025	6	6	5
PM_CHE_027	1	3	1
PM_CHE_034	7	7	6
PM_CHE_035	8	8	7
PM_CHE_036	9	9	8
PM_CHE_037	10	10	9
PM_CHE_038	11	11	10
PM_CHE_039	7	12	6
PM_CHE_042	7	7	6
PM_CHE_043	7	13	6
PM_CHE_044	12	14	11
PM_CHE_045	13	15	12
PM_CHE_046	14	16	13
PM_CHE_047	15	17	14
PM_CHE_050	7	13	6
PM_CHE_051	8	18	7
PM_CHE_052	16	19	15
PM_CHE_053	17	20	16
PM_CHE_054	18	8	7
PM_CHE_055	19	21	17
