OffspringID	FatherID	MotherID	ClusterIndex
PM_BMR_001	1	1	1
PM_BMR_002	1	1	1
PM_BMR_003	2	2	2
PM_BMR_004	3	3	3
PM_BMR_005	2	2	2
PM_BMR_006	3	3	3
PM_BMR_009	1	1	1
PM_BMR_010	1	1	1
PM_BMR_011	2	2	2
PM_BMR_012	2	2	2
PM_BMR_013	2	2	2
PM_BMR_014	2	2	2
PM_BMR_017	1	1	1
PM_BMR_018	1	1	1
PM_BMR_019	4	4	4
PM_BMR_020	5	5	5
PM_BMR_021	6	6	4
PM_BMR_022	7	7	6
PM_BMR_023	8	8	7
PM_BMR_025	1	1	1
PM_BMR_026	9	9	5
PM_BMR_027	5	10	5
PM_BMR_028	7	11	6
PM_BMR_029	10	12	5
PM_BMR_030	10	13	5
PM_BMR_033	10	13	5
PM_BMR_034	11	14	5
PM_BMR_035	7	11	6
PM_BMR_036	12	15	4
PM_BMR_037	10	10	5
PM_BMR_038	12	15	4
PM_BMR_039	6	6	4
PM_BMR_040	10	12	5
PM_BMR_041	4	4	4
PM_BMR_042	11	14	5
PM_BMR_043	13	14	5
PM_BMR_044	6	6	4
PM_BMR_045	14	4	4
PM_BMR_046	7	16	6
PM_BMR_047	15	5	5
PM_BMR_048	16	17	8
PM_BMR_049	6	18	4
PM_BMR_050	7	7	6
PM_BMR_051	5	10	5
PM_BMR_052	16	17	8
PM_BMR_053	11	14	5
PM_BMR_054	6	18	4
PM_BMR_055	17	19	5
PM_BMR_056	6	6	4
PM_BMR_057	12	15	4
PM_BMR_058	6	18	4
PM_BMR_059	5	10	5
PM_BMR_060	18	20	5
PM_BMR_061	4	4	4
PM_BMR_062	4	4	4
PM_BMR_063	10	13	5
PM_BMR_064	7	11	6
PM_BMR_065	12	15	4
PM_BMR_066	19	21	4
PM_BMR_067	7	7	6
PM_BMR_068	17	22	5
PM_BMR_069	9	14	5
PM_BMR_070	14	4	4
PM_BMR_071	11	14	5
PM_BMR_072	4	4	4
PM_BMR_073	13	14	5
PM_BMR_074	10	13	5
PM_BMR_075	10	13	5
PM_BMR_076	11	14	5
PM_BMR_077	11	14	5
PM_BMR_078	6	6	4
PM_BMR_079	11	14	5
PM_BMR_080	10	23	5
PM_BMR_081	9	14	5
PM_BMR_082	11	14	5
PM_BMR_083	12	15	4
