ClusterIndex	Probability	OffspringID	FatherID	MotherID
1	0.4993	PM_OCQ_001	1	1
1	0.4993	PM_OCQ_002	2	2
1	0.4993	PM_OCQ_004	4	2
1	0.4993	PM_OCQ_005	5	1
1	0.4993	PM_OCQ_006	5	2
1	0.4993	PM_OCQ_007	6	2
1	0.4993	PM_OCQ_008	7	2
1	0.4993	PM_OCQ_009	2	2
1	0.4993	PM_OCQ_010	8	2
1	0.4993	PM_OCQ_011	9	2
1	0.4993	PM_OCQ_012	10	1
1	0.4993	PM_OCQ_013	11	2
1	0.4993	PM_OCQ_014	12	2
1	0.4993	PM_OCQ_015	13	2
1	0.4993	PM_OCQ_016	14	1
1	0.4993	PM_OCQ_017	5	1
1	0.4993	PM_OCQ_018	1	1
1	0.4993	PM_OCQ_019	15	1
1	0.4993	PM_OCQ_020	2	2
1	0.4993	PM_OCQ_021	2	2
1	0.4993	PM_OCQ_022	16	2
1	0.4993	PM_OCQ_023	17	1
1	0.4993	PM_OCQ_024	1	2
1	0.4993	PM_OCQ_025	7	1
1	0.4993	PM_OCQ_026	8	1
1	0.4993	PM_OCQ_027	1	1
1	0.4993	PM_OCQ_029	4	2
1	0.4993	PM_OCQ_030	16	2
1	0.4993	PM_OCQ_031	2	1
1	0.4993	PM_OCQ_032	10	2
1	0.4993	PM_OCQ_033	16	1
1	0.4993	PM_OCQ_034	19	1
1	0.4993	PM_OCQ_035	1	2
1	0.4993	PM_OCQ_036	11	1
1	0.4993	PM_OCQ_037	14	1
1	0.4993	PM_OCQ_038	14	2
1	0.4993	PM_OCQ_039	20	1
1	0.4993	PM_OCQ_041	22	1
1	0.4993	PM_OCQ_042	13	1
1	0.4993	PM_OCQ_043	10	1
1	0.4993	PM_OCQ_044	10	2
1	0.4993	PM_OCQ_045	14	2
1	0.4993	PM_OCQ_046	20	1
1	0.4993	PM_OCQ_047	11	2
1	0.4993	PM_OCQ_048	16	1
1	0.4993	PM_OCQ_049	2	2
1	0.4993	PM_OCQ_050	6	1
1	0.4993	PM_OCQ_051	23	1
1	0.4993	PM_OCQ_053	6	2
1	0.4993	PM_OCQ_054	14	1
1	0.4993	PM_OCQ_056	13	2
1	0.4993	PM_OCQ_057	16	2
1	0.4993	PM_OCQ_058	16	2
1	0.4993	PM_OCQ_059	8	1
1	0.4993	PM_OCQ_060	9	2
1	0.4993	PM_OCQ_061	11	1
1	0.4993	PM_OCQ_062	12	1
1	0.4993	PM_OCQ_063	6	1
1	0.4993	PM_OCQ_064	11	1
1	0.4993	PM_OCQ_065	26	1
1	0.4993	PM_OCQ_066	27	1
1	0.4993	PM_OCQ_068	11	1
1	0.4993	PM_OCQ_069	2	1
1	0.4993	PM_OCQ_070	29	2
