CHROM SNP_name
scaf_00001 SNP1
scaf_00001 SNP2
scaf_00001 SNP3
scaf_00001 SNP4
scaf_00001 SNP5
scaf_00001 SNP6
scaf_00001 SNP7
scaf_00001 SNP8
scaf_00001 SNP9
scaf_00001 SNP10
scaf_00001 SNP11
scaf_00001 SNP12
scaf_00001 SNP13
scaf_00001 SNP14
scaf_00001 SNP15
scaf_00001 SNP16
scaf_00001 SNP17
scaf_00001 SNP18
scaf_00001 SNP19
scaf_00001 SNP20
scaf_00001 SNP21
scaf_00001 SNP22
scaf_00001 SNP23
scaf_00001 SNP24
scaf_00001 SNP25
scaf_00001 SNP26
scaf_00001 SNP27
scaf_00001 SNP28
scaf_00001 SNP29
scaf_00001 SNP30
scaf_00001 SNP31
scaf_00001 SNP32
scaf_00001 SNP33
scaf_00001 SNP34
scaf_00001 SNP35
scaf_00001 SNP36
scaf_00001 SNP37
scaf_00001 SNP38
scaf_00001 SNP39
scaf_00001 SNP40
scaf_00001 SNP41
scaf_00001 SNP42
scaf_00001 SNP43
scaf_00001 SNP44
scaf_00001 SNP45
scaf_00001 SNP46
scaf_00001 SNP47
scaf_00001 SNP48
scaf_00001 SNP49
scaf_00001 SNP50
scaf_00001 SNP51
scaf_00001 SNP52
scaf_00001 SNP53
scaf_00001 SNP54
scaf_00001 SNP55
scaf_00001 SNP56
scaf_00001 SNP57
scaf_00001 SNP58
scaf_00001 SNP59
scaf_00001 SNP60
scaf_00001 SNP61
scaf_00001 SNP62
scaf_00001 SNP63
scaf_00001 SNP64
scaf_00001 SNP65
scaf_00001 SNP66
scaf_00001 SNP67
scaf_00001 SNP68
scaf_00001 SNP69
scaf_00001 SNP70
scaf_00001 SNP71
scaf_00001 SNP72
scaf_00001 SNP73
scaf_00001 SNP74
scaf_00001 SNP75
scaf_00001 SNP76
scaf_00001 SNP77
scaf_00001 SNP78
scaf_00001 SNP79
scaf_00001 SNP80
scaf_00001 SNP81
scaf_00001 SNP82
scaf_00001 SNP83
scaf_00001 SNP84
scaf_00001 SNP85
scaf_00001 SNP86
scaf_00001 SNP87
scaf_00001 SNP88
scaf_00001 SNP89
scaf_00001 SNP90
scaf_00001 SNP91
scaf_00001 SNP92
scaf_00001 SNP93
scaf_00001 SNP94
scaf_00001 SNP95
scaf_00001 SNP96
scaf_00001 SNP97
scaf_00001 SNP98
scaf_00001 SNP99
scaf_00001 SNP100
scaf_00001 SNP101
scaf_00001 SNP102
scaf_00001 SNP103
scaf_00001 SNP104
scaf_00002 SNP105
scaf_00002 SNP106
scaf_00002 SNP107
scaf_00002 SNP108
scaf_00002 SNP109
scaf_00002 SNP110
scaf_00002 SNP111
scaf_00002 SNP112
scaf_00002 SNP113
scaf_00002 SNP114
scaf_00002 SNP115
scaf_00002 SNP116
scaf_00002 SNP117
scaf_00002 SNP118
scaf_00002 SNP119
scaf_00002 SNP120
scaf_00002 SNP121
scaf_00002 SNP122
scaf_00002 SNP123
scaf_00002 SNP124
scaf_00002 SNP125
scaf_00002 SNP126
scaf_00002 SNP127
scaf_00002 SNP128
scaf_00002 SNP129
scaf_00002 SNP130
scaf_00002 SNP131
scaf_00002 SNP132
scaf_00002 SNP133
scaf_00002 SNP134
scaf_00002 SNP135
scaf_00002 SNP136
scaf_00002 SNP137
scaf_00002 SNP138
scaf_00002 SNP139
scaf_00002 SNP140
scaf_00002 SNP141
scaf_00002 SNP142
scaf_00002 SNP143
scaf_00002 SNP144
scaf_00002 SNP145
scaf_00002 SNP146
scaf_00002 SNP147
scaf_00002 SNP148
scaf_00002 SNP149
scaf_00002 SNP150
scaf_00002 SNP151
scaf_00002 SNP152
scaf_00002 SNP153
scaf_00002 SNP154
scaf_00002 SNP155
scaf_00002 SNP156
scaf_00002 SNP157
scaf_00002 SNP158
scaf_00002 SNP159
scaf_00002 SNP160
scaf_00002 SNP161
scaf_00002 SNP162
scaf_00002 SNP163
scaf_00002 SNP164
scaf_00002 SNP165
scaf_00002 SNP166
scaf_00002 SNP167
scaf_00002 SNP168
scaf_00002 SNP169
scaf_00002 SNP170
scaf_00002 SNP171
scaf_00002 SNP172
scaf_00002 SNP173
scaf_00002 SNP174
scaf_00002 SNP175
scaf_00002 SNP176
scaf_00002 SNP177
scaf_00002 SNP178
scaf_00002 SNP179
scaf_00002 SNP180
scaf_00002 SNP181
scaf_00002 SNP182
scaf_00002 SNP183
scaf_00002 SNP184
scaf_00002 SNP185
scaf_00003 SNP186
scaf_00003 SNP187
scaf_00003 SNP188
scaf_00003 SNP189
scaf_00003 SNP190
scaf_00003 SNP191
scaf_00003 SNP192
scaf_00003 SNP193
scaf_00003 SNP194
scaf_00003 SNP195
scaf_00003 SNP196
scaf_00003 SNP197
scaf_00003 SNP198
scaf_00003 SNP199
scaf_00003 SNP200
scaf_00003 SNP201
scaf_00003 SNP202
scaf_00003 SNP203
scaf_00003 SNP204
scaf_00003 SNP205
scaf_00003 SNP206
scaf_00003 SNP207
scaf_00003 SNP208
scaf_00003 SNP209
scaf_00003 SNP210
scaf_00003 SNP211
scaf_00003 SNP212
scaf_00003 SNP213
scaf_00003 SNP214
scaf_00003 SNP215
scaf_00003 SNP216
scaf_00003 SNP217
scaf_00003 SNP218
scaf_00003 SNP219
scaf_00003 SNP220
scaf_00003 SNP221
scaf_00003 SNP222
scaf_00003 SNP223
scaf_00003 SNP224
scaf_00003 SNP225
scaf_00003 SNP226
scaf_00003 SNP227
